Frame Number,Timecode,adaptive_ratio (w=2),content_val,delta_edges,delta_hue,delta_lum,delta_sat
1519,00:01:03.313,0.9274800757342259,0.14284939236111113,0.498046875,0.09648980034722222,0.08780924479166667,0.24424913194444445
1520,00:01:03.355,0.9149769619835207,0.13781286168981483,0.24210611979166666,0.08148871527777778,0.09125434027777778,0.2406955295138889
1521,00:01:03.397,0.6434556093388543,0.14964916087962962,0.892333984375,0.08406575520833333,0.1013454861111111,0.2635362413194444
1522,00:01:03.438,0.45021865011968926,0.15220811631944445,0.6087239583333334,0.09147135416666667,0.10107421875,0.2640787760416667
1523,00:01:03.480,1.2017279891645682,0.497413917824074,1.307373046875,0.6282823350694444,0.3912489149305556,0.4727105034722222
1524,00:01:03.522,0.8985252004581901,0.5674280237268519,1.826171875,0.72705078125,0.4210611979166667,0.5541720920138888
1525,00:01:03.563,1.0091906005221933,0.786376953125,1.6324869791666667,0.8616807725694444,0.6747504340277778,0.8226996527777778
1526,00:01:03.605,1.3451726379276194,1.0900426793981481,1.328125,1.5563422309027777,0.7952473958333334,0.9185384114583334
1527,00:01:03.647,1.0434983043532633,0.9619773582175926,1.2935384114583333,1.0611707899305556,0.816162109375,1.0085991753472223
1528,00:01:03.689,1.0655729172088568,0.9255642361111112,1.3765462239583333,1.0147026909722223,0.7843695746527778,0.9776204427083334
1529,00:01:03.730,1.2415786604460108,0.885525173611111,3.7284342447916665,0.9374728732638888,0.7626139322916666,0.9564887152777778
1530,00:01:03.772,0.8408032060268773,0.5368833188657407,0.37353515625,0.3650716145833333,0.479736328125,0.7658420138888888
1531,00:01:03.814,0.8553815605397357,0.4284758391203704,0.3458658854166667,0.2721082899305556,0.3921169704861111,0.6212022569444444
1532,00:01:03.855,0.8610906570797419,0.3145797164351852,0.17985026041666666,0.1743435329861111,0.2728678385416667,0.4965277777777778
1533,00:01:03.897,0.888376821416469,0.2666829427083333,0.6087239583333334,0.1926812065972222,0.184326171875,0.4230414496527778
1534,00:01:03.939,0.9006144993428764,0.22926613136574073,0.435791015625,0.1584201388888889,0.1496039496527778,0.3797743055555556
1535,00:01:03.981,0.9700041274320653,0.228443287037037,0.13834635416666666,0.1516655815972222,0.16959635416666666,0.3640679253472222
1536,00:01:04.022,0.892763832710805,0.2085593894675926,0.13142903645833334,0.1386447482638889,0.156494140625,0.3305392795138889
1537,00:01:04.064,1.1022733233322493,0.23752170138888887,0.2559407552083333,0.12418619791666667,0.19816080729166666,0.3902180989583333
1538,00:01:04.106,1.2318832143979699,0.23921260127314817,0.2559407552083333,0.1305609809027778,0.18587239583333334,0.4012044270833333
1539,00:01:04.147,0.9210933470861267,0.185718677662037,0.11759440104166667,0.125244140625,0.13126627604166666,0.3006456163194444
1540,00:01:04.189,0.7096717065503729,0.14493815104166666,0.055338541666666664,0.07649739583333333,0.09724934895833333,0.2610677083333333
1541,00:01:04.231,1.0228799459587938,0.18484157986111113,0.11067708333333333,0.11412217881944445,0.12849934895833334,0.3119032118055556
1542,00:01:04.273,1.1806691832974736,0.2071578414351852,0.20751953125,0.13905164930555555,0.1493598090277778,0.3330620659722222
1543,00:01:04.314,0.9651642727422816,0.18501338252314814,0.19368489583333334,0.108154296875,0.1298828125,0.3170030381944444
1544,00:01:04.356,0.9846366221989504,0.18703884548611113,0.33203125,0.11767578125,0.13145616319444445,0.3119845920138889
1545,00:01:04.398,1.0378424315136974,0.18772605613425927,0.020751953125,0.118896484375,0.12421332465277778,0.320068359375
1546,00:01:04.439,1.0139230347884793,0.179931640625,0.062255859375,0.14442274305555555,0.1056857638888889,0.2896864149305556
1547,00:01:04.481,0.9797805035506777,0.17154043692129628,0.21443684895833334,0.0966525607638889,0.11490885416666667,0.3030598958333333
1548,00:01:04.523,0.9437117624805959,0.16353804976851852,0.3458658854166667,0.10074869791666667,0.11029730902777778,0.2795681423611111
1549,00:01:04.564,0.7425316103932195,0.1691261574074074,0.0830078125,0.10755750868055555,0.10820855034722222,0.2916124131944444
1550,00:01:04.606,0.5055830032981442,0.1725712528935185,0.166015625,0.08460828993055555,0.12198893229166667,0.3111165364583333
1551,00:01:04.648,0.8935217868032503,0.4034288194444444,1.03759765625,0.25,0.3670247395833333,0.59326171875
1552,00:01:04.690,1.0645738675478456,0.6292317708333334,2.158203125,0.5005696614583334,0.5324435763888888,0.8546820746527778
