time_seconds,timecode,hue_degrees,saturation,brightness,contrast,edge_density,motion_energy,dominant_hue_family
189.0,03:09.000,174.06048583984375,0.8512203693389893,0.7968582510948181,0.03189865488215986,0.012083333333333333,8.966503267973857e-05,blue
190.0,03:10.000,174.1977081298828,0.8501175045967102,0.7963563799858093,0.03225484599420021,0.014791666666666667,0.00048508986928104576,blue
191.0,03:11.000,174.41969299316406,0.8495773077011108,0.7957981824874878,0.032779265251988786,0.017604166666666667,0.0008134531590413943,blue
192.0,03:12.000,174.39215087890625,0.8498274683952332,0.7958784103393555,0.03287258042295397,0.016666666666666666,0.0020686955337690634,blue
193.0,03:13.000,174.37698364257812,0.8490331768989563,0.7956939935684204,0.03260842975297294,0.0171875,0.0005900735294117647,blue
194.0,03:14.000,174.39218139648438,0.8496509194374084,0.7958618402481079,0.03287411471323355,0.017083333333333332,0.0005820397603485839,blue
195.0,03:15.000,173.53506469726562,0.8419951796531677,0.7984890937805176,0.04695961621975229,0.016458333333333332,0.008957924836601306,blue
196.0,03:16.000,174.38739013671875,0.846717894077301,0.7971367239952087,0.04422540081327413,0.012638888888888889,0.005487200435729847,blue
197.0,03:17.000,174.4630584716797,0.8478337526321411,0.7954598665237427,0.04490265925794726,0.014756944444444444,0.005842592592592593,blue
198.0,03:18.000,174.5066375732422,0.8474161028862,0.7932044863700867,0.04998438294703923,0.02263888888888889,0.002269812091503268,blue
199.0,03:19.000,174.6141357421875,0.8469149470329285,0.7910643219947815,0.056715215701034084,0.02435763888888889,0.0015863289760348583,blue
200.0,03:20.000,174.63294982910156,0.846938967704773,0.7907189726829529,0.05805605395851984,0.023958333333333335,0.0015603213507625272,blue
201.0,03:21.000,174.63052368164062,0.8468981385231018,0.7907799482345581,0.05792558836613326,0.02376736111111111,0.0008022875816993464,blue
202.0,03:22.000,174.62600708007812,0.8468218445777893,0.7906970977783203,0.05821363271181483,0.023819444444444445,0.0019432189542483661,blue
203.0,03:23.000,174.6259765625,0.8468217849731445,0.7906971573829651,0.05821363241640572,0.023819444444444445,1.3616557734204792e-07,blue
204.0,03:24.000,174.69705200195312,0.844408392906189,0.7910993099212646,0.06061121075186096,0.027274305555555555,0.0010102805010893247,blue
205.0,03:25.000,174.69708251953125,0.8444099426269531,0.79109787940979,0.060611445612726855,0.027274305555555555,3.60838779956427e-06,blue
206.0,03:26.000,174.71945190429688,0.8466112017631531,0.7905676364898682,0.05847470026617377,0.024375,0.001181849128540305,blue
207.0,03:27.000,174.74069213867188,0.8466862440109253,0.7905498147010803,0.05849078005131216,0.024461805555555556,0.0019454656862745098,blue
208.0,03:28.000,174.64993286132812,0.846657395362854,0.7906108498573303,0.058119841316160076,0.023645833333333335,0.0012855392156862744,blue
209.0,03:29.000,174.72084045410156,0.8442543745040894,0.7911407351493835,0.060713936209403484,0.027586805555555555,0.002301470588235294,blue
210.0,03:30.000,174.6621551513672,0.8447036147117615,0.7911131978034973,0.059781534251578894,0.027447916666666666,0.0012024101307189544,blue
211.0,03:31.000,174.73385620117188,0.8442356586456299,0.7911721467971802,0.06079456187971523,0.027934027777777776,0.0012135757080610023,blue
212.0,03:32.000,174.64614868164062,0.8450891971588135,0.7942941784858704,0.05371494473047682,0.021041666666666667,0.0048539624183006535,blue
213.0,03:33.000,174.46243286132812,0.8480333685874939,0.796738862991333,0.043812379105745106,0.012170138888888888,0.0050230800653594775,blue
214.0,03:34.000,174.46177673339844,0.8476262092590332,0.7970120310783386,0.04469670874853736,0.012465277777777778,0.0020603894335511986,blue
215.0,03:35.000,174.50669860839844,0.8472301363945007,0.7958843111991882,0.048009292479778934,0.015381944444444445,0.0010695125272331156,blue
216.0,03:36.000,174.26593017578125,0.8466173410415649,0.7926309704780579,0.057991123169027894,0.022152777777777778,0.004202410130718954,blue
217.0,03:37.000,174.22381591796875,0.8460885286331177,0.7925283312797546,0.05803221286812867,0.022135416666666668,0.0020341775599128542,blue
218.0,03:38.000,306.7017822265625,0.3877476751804352,0.7823699712753296,0.09162464868108716,0.054496527777777776,0.06796010348583878,magenta
